i, j, number of events processed, number of events selected
780, 0, 56578, 93
781, 0, 56910, 128
783, 0, 56554, 123
782, 0, 56119, 138
784, 0, 56396, 121
785, 0, 56685, 143
786, 0, 56755, 129
787, 0, 56489, 119
788, 0, 56782, 103
790, 0, 56781, 101
789, 0, 56374, 132
792, 0, 57323, 126
791, 0, 56816, 120
793, 0, 56954, 146
794, 0, 56637, 100
795, 0, 56636, 132
796, 0, 56612, 125
797, 0, 56965, 109
798, 0, 56357, 118
799, 0, 56422, 125
800, 0, 56911, 123
801, 0, 57001, 127
802, 0, 56830, 114
803, 0, 56836, 122
804, 0, 56622, 124
805, 0, 56327, 111
806, 0, 57175, 134
807, 0, 56712, 125
808, 0, 56614, 126
809, 0, 56226, 108
811, 0, 56732, 132
810, 0, 56593, 136
812, 0, 56601, 141
813, 0, 56865, 140
814, 0, 56418, 126
815, 0, 56456, 134
816, 0, 56730, 94
817, 0, 56445, 118
819, 0, 56213, 100
818, 0, 56160, 138
820, 0, 56731, 123
821, 0, 56684, 128
822, 0, 56847, 135
823, 0, 56423, 108
824, 0, 56679, 118
825, 0, 56602, 129
827, 0, 57139, 122
826, 0, 56600, 102
828, 0, 56407, 122
829, 0, 56456, 102
830, 0, 56608, 120
832, 0, 56720, 131
831, 0, 56707, 134
833, 0, 56305, 114
834, 0, 56790, 115
835, 0, 56575, 130
836, 0, 56471, 128
837, 0, 56695, 116
838, 0, 56627, 107
839, 0, 56702, 127
840, 0, 56840, 122
841, 0, 56629, 133
842, 0, 56281, 135
845, 0, 56451, 126
844, 0, 56613, 114
843, 0, 57146, 141
846, 0, 56218, 131
847, 0, 56300, 115
848, 0, 56366, 123
849, 0, 56670, 123
850, 0, 56733, 128
851, 0, 56371, 105
852, 0, 56684, 140
853, 0, 57023, 124
854, 0, 56499, 116
855, 0, 56265, 116
856, 0, 56913, 130
857, 0, 56847, 125
858, 0, 56726, 123
859, 0, 57003, 124
861, 0, 56219, 117
860, 0, 56668, 111
863, 0, 56077, 141
862, 0, 56630, 107
864, 0, 56592, 115
865, 0, 56772, 122
866, 0, 56472, 146
867, 0, 56164, 111
868, 0, 56870, 126
869, 0, 56855, 126
870, 0, 56325, 117
872, 0, 56829, 119
871, 0, 56795, 113
873, 0, 56561, 131
874, 0, 56884, 132
875, 0, 56711, 122
877, 0, 56593, 120
876, 0, 56490, 121
878, 0, 56958, 128
879, 0, 56485, 134
880, 0, 56908, 126
881, 0, 56797, 128
882, 0, 56732, 126
883, 0, 56728, 111
884, 0, 56782, 127
885, 0, 57006, 89
886, 0, 57095, 126
887, 0, 56736, 144
888, 0, 56763, 156
889, 0, 56255, 116
890, 0, 56638, 144
891, 0, 56694, 121
892, 0, 56957, 133
893, 0, 57014, 131
894, 0, 56717, 121
895, 0, 56847, 145
896, 0, 56996, 110
897, 0, 56139, 121
898, 0, 56328, 153
899, 0, 57157, 118
900, 0, 56862, 122
901, 0, 56913, 147
902, 0, 56890, 117
903, 0, 56392, 121
905, 0, 56556, 131
904, 0, 56868, 136
906, 0, 56553, 108
907, 0, 56591, 125
908, 0, 56644, 121
909, 0, 57053, 137
910, 0, 56544, 106
911, 0, 56613, 126
912, 0, 56399, 118
913, 0, 56455, 110
914, 0, 56932, 144
915, 0, 56437, 134
916, 0, 56721, 118
917, 0, 56505, 117
918, 0, 57056, 131
919, 0, 56700, 133
921, 0, 56508, 122
920, 0, 56760, 125
922, 0, 56827, 118
923, 0, 56500, 121
924, 0, 56154, 129
925, 0, 56431, 118
926, 0, 56410, 116
928, 0, 56864, 127
927, 0, 56690, 142
929, 0, 56467, 125
930, 0, 56812, 134
931, 0, 56761, 127
932, 0, 56573, 99
933, 0, 56769, 148
934, 0, 56803, 112
935, 0, 56355, 136
936, 0, 56467, 128
937, 0, 56333, 132
938, 0, 56784, 109
939, 0, 56911, 110
941, 0, 56957, 111
940, 0, 56822, 142
942, 0, 56684, 117
943, 0, 56389, 123
944, 0, 56674, 124
947, 0, 56722, 110
946, 0, 56302, 115
945, 0, 57052, 136
948, 0, 56575, 153
949, 0, 56715, 120
950, 0, 56588, 130
951, 0, 56537, 103
952, 0, 56466, 132
953, 0, 56837, 113
954, 0, 56968, 115
955, 0, 56076, 119
957, 0, 56179, 132
956, 0, 56676, 126
958, 0, 56869, 112
961, 0, 56671, 132
960, 0, 56832, 130
959, 0, 56349, 131
962, 0, 56731, 138
963, 0, 56736, 146
964, 0, 56814, 114
965, 0, 56423, 126
966, 0, 56115, 127
967, 0, 56634, 125
968, 0, 56834, 129
969, 0, 56267, 135
970, 0, 56895, 131
971, 0, 56793, 110
972, 0, 56819, 121
973, 0, 56575, 100
974, 0, 56807, 139
975, 0, 56231, 137
976, 0, 56328, 118
977, 0, 56838, 145
978, 0, 56638, 108
979, 0, 57114, 132
980, 0, 56361, 133
981, 0, 56771, 110
982, 0, 56933, 132
983, 0, 56232, 134
984, 0, 56614, 116
985, 0, 56843, 127
986, 0, 56011, 128
987, 0, 56320, 138
988, 0, 56065, 129
989, 0, 56797, 123
990, 0, 56773, 106
991, 0, 56710, 131
992, 0, 56549, 131
993, 0, 57027, 115
994, 0, 56906, 141
995, 0, 56405, 120
996, 0, 56540, 124
997, 0, 56820, 112
998, 0, 56922, 105
999, 0, 56548, 125
1001, 0, 56487, 105
1000, 0, 56924, 123
1002, 0, 56637, 118
1004, 0, 56991, 125
1003, 0, 56942, 113
1005, 0, 56828, 124
1006, 0, 56659, 123
1007, 0, 56839, 133
1009, 0, 56509, 114
1008, 0, 56793, 115
1010, 0, 56682, 134
1011, 0, 56284, 131
1012, 0, 56336, 133
1013, 0, 56626, 116
1014, 0, 56722, 109
1015, 0, 57069, 113
1016, 0, 56192, 108
1017, 0, 56615, 134
1018, 0, 56911, 110
1019, 0, 56786, 110
1020, 0, 56691, 126
1021, 0, 56694, 116
1022, 0, 56026, 148
1023, 0, 56848, 125
1024, 0, 56853, 127
1025, 0, 56613, 114
1026, 0, 56170, 133
1027, 0, 56592, 135
1028, 0, 57157, 105
1030, 0, 56619, 129
1031, 0, 56734, 152
1029, 0, 56773, 149
1032, 0, 56648, 133
1033, 0, 56607, 104
1034, 0, 56532, 114
1035, 0, 56492, 113
1036, 0, 56994, 120
1037, 0, 56527, 109
1038, 0, 56586, 122
1039, 0, 56481, 125
1040, 0, 56819, 131
1041, 0, 56462, 127
1042, 0, 56732, 122
1043, 0, 56558, 123
1044, 0, 56717, 111
1045, 0, 56586, 117
1046, 0, 56438, 119
1047, 0, 56627, 113
1048, 0, 56995, 130
1049, 0, 56462, 142
1050, 0, 56999, 116
1051, 0, 56190, 130
1052, 0, 56672, 126
1053, 0, 56933, 126
1054, 0, 56288, 120
1055, 0, 56529, 142
1056, 0, 56647, 127
1057, 0, 56637, 114
1058, 0, 56705, 141
1059, 0, 56529, 144
1060, 0, 56719, 119
1061, 0, 56609, 119
1062, 0, 56319, 115
1063, 0, 56999, 121
1064, 0, 56915, 125
1065, 0, 56853, 148
1066, 0, 56314, 103
1067, 0, 56555, 122
1068, 0, 56719, 133
1069, 0, 56783, 125
1070, 0, 56502, 123
1071, 0, 56373, 125
1072, 0, 56520, 111
1073, 0, 56251, 140
1074, 0, 56673, 138
1075, 0, 56949, 126
1076, 0, 56795, 131
1077, 0, 56617, 107
1080, 0, 57080, 126
1078, 0, 56823, 129
1079, 0, 56766, 120
1081, 0, 56817, 124
1082, 0, 56864, 117
1083, 0, 57214, 127
1084, 0, 56243, 131
1085, 0, 56765, 121
1086, 0, 56591, 121
1087, 0, 56697, 116
1089, 0, 56690, 143
1088, 0, 56513, 138
1090, 0, 56211, 114
1091, 0, 56035, 118
1092, 0, 56665, 135
1093, 0, 56771, 123
1094, 0, 56837, 133
1095, 0, 56925, 120
1096, 0, 56869, 104
1097, 0, 56839, 122
1098, 0, 56927, 126
1099, 0, 56690, 124
1100, 0, 56797, 122
1101, 0, 56730, 110
1102, 0, 56536, 144
1103, 0, 56784, 138
1104, 0, 56957, 126
1105, 0, 56853, 141
1106, 0, 56654, 131
1107, 0, 56409, 140
1108, 0, 56413, 134
1109, 0, 57010, 129
1110, 0, 56757, 148
1111, 0, 56887, 132
1112, 0, 56589, 113
1113, 0, 56763, 137
1114, 0, 56595, 122
1115, 0, 56742, 138
1116, 0, 56585, 142
1117, 0, 56792, 114
1118, 0, 57072, 144
1119, 0, 56456, 142
1120, 0, 56125, 122
1121, 0, 57043, 126
1122, 0, 56876, 120
1123, 0, 56596, 122
1124, 0, 56635, 109
1125, 0, 56505, 122
1126, 0, 56797, 108
1127, 0, 56471, 123
1128, 0, 56346, 100
1129, 0, 56624, 140
1130, 0, 56654, 130
1131, 0, 56506, 129
1133, 0, 56348, 119
1132, 0, 56125, 112
1134, 0, 56338, 131
1135, 0, 56846, 129
1136, 0, 56140, 107
1137, 0, 56452, 125
1138, 0, 56901, 104
1139, 0, 56969, 122
1140, 0, 56704, 129
1142, 0, 56431, 116
1141, 0, 56979, 137
1143, 0, 56168, 119
1144, 0, 56535, 117
1145, 0, 56515, 119
1146, 0, 56819, 133
